"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"cf9e5ac6-713a-4036-93fb-b6b722b7d48d","HCM_755.txt","Richard de Upton","char-offset:81","PERSON","","","","","","","","Principal","called de Credeleye|Vicar in the greater church of Hereford"
"acfe84b5-afa6-4fdd-9a56-902651136103","HCM_755.txt","Upton’","char-offset:92","PLACE","http://sws.geonames.org/4953794","Upton","","42.17454","-71.60229","","UNVERIFIED","Nominative",""
"be6e2246-02e7-4ca8-b06d-2d7eedb3a051","HCM_755.txt","chaplain","char-offset:100","","","","","","","","","Job",""
"24c910cc-3799-4018-85ec-acdb18ce90e8","HCM_755.txt","Credeleye","char-offset:120","PLACE","","","","","","","UNVERIFIED","",""
"a6f350aa-9a93-4b7c-b434-9fac2fb237b2","HCM_755.txt","Hereford","char-offset:162","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","",""
"b277ae17-3f9f-4e6a-9c93-c0538802eb2a","HCM_755.txt","Dominus James de Henle","char-offset:175","PERSON","","","","","","","","Principal","Canon of Hereford"
"e2dde99c-a395-4657-962c-093b5fcc29c9","HCM_755.txt","Henle","char-offset:192","PLACE","","","","","","","UNVERIFIED","Nominative",""
"5712ba2a-120b-4338-ae7b-39099b199b43","HCM_755.txt","Hereford","char-offset:208","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","",""
"b6d644b4-774b-450f-981c-4b81270b9731","HCM_755.txt","Overebroynton","char-offset:295","PLACE","","","","","","","UNVERIFIED","",""
"e35ec1fc-0618-4580-b347-efcd0681d573","HCM_755.txt","dean and chapter of Hereford","char-offset:328","PERSON","","","","","","","","Collective",""
"3dbdd05f-81cf-48d5-96c3-4ef5816a3cbf","HCM_755.txt","Thomas le Breoton","char-offset:399","PERSON","","","","","","","","",""
"39af0b99-acbc-4ff2-aded-35c8ca91cccb","HCM_755.txt","canon of Hereford","char-offset:428","","","","","","","","","Job",""
"2db8f061-864d-4c65-ab66-1a672dd77d7a","HCM_755.txt","Thomas","char-offset:488","PERSON","","","","","","","","",""
"239fc928-800b-480b-ae31-f23377dcc50d","HCM_755.txt","Richard","char-offset:505","PERSON","","","","","","","","",""
"6e560258-91bd-4579-8780-407a3b8971f7","HCM_755.txt","Ralph called le Blake de la Oldehull","char-offset:530","PERSON","","","","","","","","",""
"b945b10b-3ca9-40e9-b6d2-e4ee7a1359b7","HCM_755.txt","Thomas","char-offset:605","PERSON","","","","","","","","",""
"62a9e9d2-22b6-4b7c-933c-6d71a8a20196","HCM_755.txt","John Arewy","char-offset:622","PERSON","","","","","","","","",""
"9a8e9f38-9d11-477f-94d7-c04fbbd1f599","HCM_755.txt","fee of the dean and chapter in Broynton","char-offset:640","PERSON","","","","","","","","Collective",""
"5712a583-7cea-442e-9f3d-c53c6a30027d","HCM_755.txt","Broynton","char-offset:671","PLACE","","","","","","","UNVERIFIED","",""
"1f1bbb97-32ef-4f15-90ff-0f1e3f633834","HCM_755.txt","Thomas","char-offset:739","PERSON","","","","","","","","",""
"f1f80b58-f4e0-4c59-931a-f561fd5861ce","HCM_755.txt","Gilbert Whyty","char-offset:756","PERSON","","","","","","","","",""
"986d1bee-38b9-4c52-af89-100b0828ecd3","HCM_755.txt","Isabella","char-offset:814","PERSON","","","","","","","","",""
"024847ae-7caa-4566-9ed4-d7f8fee302de","HCM_755.txt","John called le Schypwerd","char-offset:836","PERSON","","","","","","","","",""
"25d9067d-29f1-4258-a230-4988f337116a","HCM_755.txt","John","char-offset:917","PERSON","","","","","","","","",""
"3f1d857b-2123-4dce-a47f-351aa15d93e6","HCM_755.txt","Gilbert Whyty","char-offset:930","PERSON","","","","","","","","",""
"7d034a3b-6ac3-4854-af1a-160899aa47eb","HCM_755.txt","William le Orleton","char-offset:1013","PERSON","","","","","","","","",""
"55785e1c-dffc-4be2-a71d-5d51b07ecea0","HCM_755.txt","Smalthornesfeld","char-offset:1053","PLACE","","","","","","","UNVERIFIED","",""
"b1fb44fc-d3cf-405a-8e5c-6a86ba56b3aa","HCM_755.txt","John Penebrugg","char-offset:1106","PERSON","","","","","","","","",""
"86130169-56b6-4ca6-b7cf-0b9334a5e90d","HCM_755.txt","Broynton","char-offset:1170","PLACE","","","","","","","UNVERIFIED","",""
"6c029a8d-24b3-4f6c-ba84-66e95cdb8a12","HCM_755.txt","Lugg","char-offset:1233","PERSON","","","","","","","","",""
"84781d83-d5d3-4237-b0de-b46da698fb7c","HCM_755.txt","Broynton","char-offset:1288","PLACE","","","","","","","UNVERIFIED","",""
"102f1c0a-b148-4ea5-a33b-50ae0a44eab6","HCM_755.txt","Hereford","char-offset:1308","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at",""
"a521cf0f-3c6b-4c81-b671-d11a911689a9","HCM_755.txt","William de Staundon","char-offset:1330","PERSON","","","","","","","","Witness",""
"b44fe6d5-2da2-4966-ac9a-2253850d3799","HCM_755.txt","Roger Laurenc' de Eton","char-offset:1352","PERSON","","","","","","","","Witness",""
"00826cdc-99ad-46ef-96f1-025a3c0d31d4","HCM_755.txt","'","char-offset:1365","PERSON","","","","","","","","Witness",""
"59087d94-cbb5-4f36-95c4-d529bfc23590","HCM_755.txt","William called le Bonde","char-offset:1377","PERSON","","","","","","","","Witness",""
"3215f92c-74c4-4101-b8e2-80c945e2ac5e","HCM_755.txt","Adam Whyty","char-offset:1402","PERSON","","","","","","","","Witness",""
"aeee264c-645c-477a-a8fa-03ffd112af88","HCM_755.txt","Hugh called le Schipward","char-offset:1414","PERSON","","","","","","","","Witness|Scribe",""
"4de7663d-76e1-4f81-bcde-0c76bbf0f5ad","HCM_755.txt","Latin","char-offset:1441","","","","","","","","","Language",""
"c2338ae4-76fa-45bc-a172-60748ab6a6e9","HCM_746.txt","John, prior, and convent of Wenlok","char-offset:25","PERSON","","","","","","","","Principal",""
"50ab1887-d8eb-4bf7-867c-25a3181a5807","HCM_746.txt","Church of St. Ethelbert of Hereford and the chapter or the same","char-offset:65","PERSON","","","","","","","","Collective|Principal",""
"010c35c7-0518-432d-83ed-72cf1bf7b00a","HCM_746.txt","St. Ethelbert of","char-offset:75","PLACE","","","","","","","UNVERIFIED","",""
"7d4d72fa-fc4c-409a-9f0c-2394e6cad6af","HCM_746.txt","Hereford","char-offset:92","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","",""
"f8fc9744-0313-437c-9405-0d35222e872b","HCM_746.txt","Hereford","char-offset:231","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","",""
"ed71296b-1462-43b2-bd98-e4a84230bc81","HCM_746.txt","William Hamelyn","char-offset:251","PERSON","","","","","","","","",""
"1954b2f3-c396-457d-bb82-442d481a06dc","HCM_746.txt","high street near the church of St. Peter","char-offset:302","PLACE","","","","","","","UNVERIFIED","Street",""
"f5525e0f-9648-44e2-87a6-af68163251ac","HCM_746.txt","Thomas","char-offset:349","PERSON","","","","","","","","",""
"7cfbf84d-4b76-4acc-8947-9a8619963429","HCM_746.txt","Wydemers","char-offset:428","PLACE","","","","","","","UNVERIFIED","",""
"b0808428-b317-419e-b727-056d59858bf7","HCM_746.txt","Thomas","char-offset:462","PERSON","","","","","","","","",""
"b844058c-bcfe-449e-b7f6-cb01b5a7fcfa","HCM_746.txt","St. Nicholas","char-offset:534","PLACE","http://mapoflondon.uvic.ca/NICH3.htm","St. Nicholas","","","","","UNVERIFIED","",""
"b32a8cfe-36ac-4bf0-9030-1ee451ca4e8a","HCM_746.txt","Walter called de La Barre","char-offset:559","PERSON","","","","","","","","Witness",""
"b184ed4a-9a99-4350-93f5-73a2d79a66be","HCM_746.txt","John Lythfot","char-offset:586","PERSON","","","","","","","","Witness",""
"07771960-7b14-43f1-ab55-cac5242482ad","HCM_746.txt","Reginald Maniword","char-offset:600","PERSON","","","","","","","","Witness",""
"eaf0b357-6fee-4005-8ce5-a4aba595d79f","HCM_746.txt","Robert Trillek","char-offset:620","PERSON","","","","","","","","Witness",""
"aba32c3f-387b-46c2-bc61-241ca745b36c","HCM_746.txt","Hugh","char-offset:637","PERSON","","","","","","","","Witness|Scribe",""
"b8a92f50-62b5-41f4-b3b1-c5d9f433f7cc","HCM_746.txt","Thomas Tybaud","char-offset:653","PERSON","","","","","","","","",""
"d556264f-f876-4dc1-a6ee-2cd013586612","HCM_746.txt","John Maniword","char-offset:668","PERSON","","","","","","","","Witness",""
"3a7a95a9-6e76-449f-b913-651694446991","HCM_746.txt","Latin","char-offset:684","","","","","","","","","Language",""
"92108fbe-3988-43d1-899b-b3eaf40b73d2","HCM_746.txt","Seal","char-offset:691","","","","","","","","","Material feature",""
"3b8e8e62-e51e-49f0-b8b8-6e9db2e9764d","HCM_681.txt","Sibil","char-offset:81","PERSON","","","","","","","","Principal",""
"0a490904-aaac-4767-9a02-5e2f5717cffc","HCM_681.txt","William Reed","char-offset:104","PERSON","","","","","","","","Dead",""
"06142e5f-cf12-4231-a484-f5f848ec719a","HCM_681.txt","John Iwayn","char-offset:128","PERSON","","","","","","","","Principal","Clerk"
"27926b89-42b0-4169-994b-5617c079b050","HCM_681.txt","John","char-offset:193","PERSON","","","","","","","","",""
"9704f559-369c-45e9-8126-eb3f16258b90","HCM_681.txt","Deuswalle","char-offset:219","PLACE","","","","","","","UNVERIFIED","",""
"e4c007be-7071-493e-8676-dbda233801d0","HCM_681.txt","Wormetone","char-offset:230","PLACE","","","","","","","UNVERIFIED","",""
"bec85ab6-80e8-49f6-8cfe-466246adb9b6","HCM_681.txt","Deusweschirche","char-offset:244","PLACE","","","","","","","UNVERIFIED","",""
"d441bfda-91cd-4ff9-8ca1-106ba99be1ca","HCM_681.txt","Hereford","char-offset:269","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at",""
"bc211cba-3a57-4953-badd-7e043da31fa4","HCM_681.txt","Edmund le Walsse","char-offset:290","PERSON","","","","","","","","Witness",""
"3441e4e2-0260-4e7c-b155-24635bd2a0b4","HCM_681.txt","John de Baddesawe","char-offset:308","PERSON","","","","","","","","Witness",""
"11433944-eec2-4b81-8e25-e8551fb99f67","HCM_681.txt","Thomas Aubrey","char-offset:327","PERSON","","","","","","","","Witness",""
"7cc321ae-d220-46c3-ba14-4a5136029ef0","HCM_681.txt","William le Calew","char-offset:342","PERSON","","","","","","","","Witness",""
"e0aa917d-c2e1-43db-b2bd-8572d802923c","HCM_681.txt","William Mangant","char-offset:363","PERSON","","","","","","","","Witness",""
"1b689dcb-3c67-4429-8939-648d72291de3","HCM_681.txt","John Vincent","char-offset:380","PERSON","","","","","","","","Witness",""
"f19ba370-4941-420f-9a09-ef4a4aa71a9d","HCM_681.txt","Roger Iwayn","char-offset:394","PERSON","","","","","","","","Witness|Scribe",""
"675c356f-34d0-4f82-8ea4-4dd493543210","HCM_681.txt","Latin","char-offset:407","","","","","","","","","Language",""
"76710f16-48e2-4be9-bbf9-ec49d15843d2","HCM_681.txt","Seal","char-offset:414","","","","","","","","","Material feature",""
"d29f73ec-1c56-4882-a182-76ca194bbbf6","HCM_681.txt","Torn","char-offset:420","","","","","","","","","Material feature",""
"96daac07-826d-4576-9b64-96558ac3efe7","HCM_715.txt","Walter de Maddeleye","char-offset:75","PERSON","","","","","","","","Scribe|Witness",""
"9b907822-bdd8-43b3-b449-e47a6ce97bf7","HCM_715.txt","Hereford","char-offset:120","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","",""
"b33bfd2a-b46c-4f5c-81d6-f3d48be5c102","HCM_715.txt","notary public","char-offset:130","","","","","","","","","Job",""
"7c04546a-fb58-4e17-960f-abb14a6bebda","HCM_715.txt","the chief parishioners of Maddeleye","char-offset:177","PERSON","","","","","","","","Principal|Collective",""
"1bfd8a11-374c-44d9-b47f-4fc783f4749d","HCM_715.txt","Maddeleye","char-offset:203","PLACE","","","","","","","UNVERIFIED","",""
"e1fc3f0f-0e9c-43fc-9af9-c651b6fb3e72","HCM_715.txt","dean and chapter of Hereford","char-offset:224","PERSON","","","","","","","","Collective|Principal",""
"4a543b1d-ad54-4fc8-b614-1b3c53e1bd9b","HCM_715.txt","Maddeleye","char-offset:379","PLACE","","","","","","","UNVERIFIED","",""
"0fc38b99-b64c-4a69-98d1-81c155dbba44","HCM_715.txt","Latin","char-offset:444","","","","","","","","","Language",""
"9dc182a1-2d0c-4b27-906d-f7e822647603","HCM_700.txt","William Noremon","char-offset:67","PERSON","","","","","","","","Principal",""
"aa462b84-5d22-45b1-8066-2958173dd50d","HCM_700.txt","Hereford","char-offset:95","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","",""
"9f2f509e-d477-4b21-8e5d-2f0000dab871","HCM_700.txt","Richard","char-offset:108","PERSON","","","","","","","","Principal",""
"1c456883-d818-4b7a-916a-2fb26acd461d","HCM_700.txt","Richard Monyword","char-offset:123","PERSON","","","","","","","","",""
"4a3ea8b1-a11d-45c1-b33f-559f780c9e8c","HCM_700.txt","Hereford","char-offset:152","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","",""
"99ede5f9-de00-4ade-9cc3-34889346a49c","HCM_700.txt","Knyhtemorefeld","char-offset:221","PLACE","","","","","","","UNVERIFIED","",""
"3ba1454c-94aa-4d59-99c4-219a627ef309","HCM_700.txt","dean and chapter of Hereford","char-offset:261","PERSON","","","","","","","","Collective",""
"493f6b05-0e12-45ad-bd93-e0e3e56a6d95","HCM_700.txt","Hereford","char-offset:281","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","",""
"c443f95f-cad6-4814-83c8-8a125d38906a","HCM_700.txt","Walter","char-offset:306","PERSON","","","","","","","","",""
"43a64fa5-e6e5-487e-99ab-d3e791bcb931","HCM_700.txt","William de la Hay","char-offset:320","PERSON","","","","","","","","",""
"277cff8d-78a2-47c4-8fd3-81af320f3de7","HCM_700.txt","Ruyshemore","char-offset:372","PLACE","","","","","","","UNVERIFIED","",""
"c9315f0b-c129-4cd8-91c8-418d46126708","HCM_700.txt","Hereford","char-offset:393","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at",""
"5b5bc19e-ada6-4e0f-ad3d-d0dee82d4e2f","HCM_700.txt","Henry de Orleton","char-offset:414","PERSON","","","","","","","","Witness",""
"3db67d1c-3108-45ad-ac87-3a88805b14ef","HCM_700.txt","Orleton","char-offset:423","PLACE","http://sws.geonames.org/2640920","Orleton","","52.3","-2.75","","UNVERIFIED","Nominative",""
"b3a11e56-e2a6-4dc5-947f-7eae53b66912","HCM_700.txt","Roger Penk","char-offset:433","PERSON","","","","","","","","Witness",""
"0787a40f-6b23-4720-bca6-5e4bce17db2c","HCM_700.txt","Phillip le Werrour","char-offset:449","PERSON","","","","","","","","Witness",""
"8c64f2df-a829-4608-9caa-aa6af9dfb5ef","HCM_700.txt","bailiffs","char-offset:469","","","","","","","","","Job",""
"c4f11ae7-c869-474f-a7f0-c881b6e55018","HCM_700.txt","Hereford","char-offset:493","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","",""
"ac757772-4feb-4fd7-8d9c-9fbf6c4b1ff3","HCM_700.txt","John Noremon","char-offset:503","PERSON","","","","","","","","",""
"83f29391-d12d-4a47-9c80-16a09e67d50f","HCM_700.txt","Walter son of Roger de Mora","char-offset:517","PERSON","","","","","","","","",""
"6b169398-2e29-40c0-b6c1-56beb34e0f04","HCM_700.txt","Roger de Mora","char-offset:531","PERSON","","","","","","","","",""
"bde9a455-0ec5-4c2f-a89d-0a0138d2f437","HCM_700.txt","Mora","char-offset:540","PLACE","http://sws.geonames.org/2513588","Mora","","39.68492","-3.77394","","UNVERIFIED","Nominative",""
"0efe45d3-8423-4e21-906e-314c79c90a98","HCM_700.txt","Walter de Breynton","char-offset:546","PERSON","","","","","","","","Witness",""
"3ba4a1ef-853c-49fd-b91c-975840df6b3b","HCM_700.txt","Breynton","char-offset:556","PLACE","","","","","","","UNVERIFIED","Nominative",""
"e386d973-e568-4742-8623-1ffe48cfc677","HCM_700.txt","Roger de Ledebury","char-offset:567","PERSON","","","","","","","","Witness",""
"acb9895d-9cf1-4906-b668-b527d148a283","HCM_700.txt","Ledebury","char-offset:576","PLACE","","","","","","","UNVERIFIED","Nominative",""
"69bb16f6-b686-4047-aab3-642c0af32f6f","HCM_700.txt","William le Herdemon","char-offset:586","PERSON","","","","","","","","Witness|Scribe",""
"ffe42297-8013-42b0-82a3-4617232eb05b","HCM_700.txt","Herdemon","char-offset:597","PLACE","","","","","","","UNVERIFIED","Nominative",""
"4d7d0583-afce-453f-bf06-c800e6ea9b38","HCM_700.txt","Latin","char-offset:607","","","","","","","","","Language",""
