"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"203cc4a1-f30e-40cc-93cd-cd242550e820","HCM_1077-em.txt","la Barewe","char-offset:184","PLACE","","","","","","","UNVERIFIED","Nominative|Natural Feature","","",""
"952dbf75-10da-4a81-8d17-67bccc6b0536","HCM_1077-em.txt","Hereford","char-offset:422","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
"bbc58b87-b0ec-4c96-8b01-7b8e936118fb","HCM_123.txt","ee","char-offset:99","PLACE","http://geo-kima.org/place/12716","Federated Malay States","","","","","UNVERIFIED","Nominative|Settlement|OCR","Leominster","",""
"a19389a8-f5bd-40f3-81f9-302e55fe6297","HCM_123.txt","Leministre","char-offset:124","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"cddf818a-b6b1-434d-9a97-33d6d59e4e45","HCM_123.txt","Hereford","char-offset:194","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Settlement","","",""
"820c5c27-e43e-48f2-b591-ff5d7812c3cb","HCM_123.txt","street called Beruual","char-offset:215","PLACE","","","","","","","UNVERIFIED","Roadway","in Hereford","",""
"b96c0a7d-2030-4ba2-90cf-e9f4196515a8","HCM_123.txt","church of All Saints","char-offset:255","PLACE","http://mapoflondon.uvic.ca/STKA1.htm","St. Katherine Coleman","","","","","UNVERIFIED","Building|Ecclesiastical","in Hereford
","",""
"5412e1c0-e397-44a6-946d-994d30bd688c","HCM_123.txt","Hereford","char-offset:507","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at|Settlement","","",""
"55d90b27-48ff-4cf1-9c8a-fadf078f1a2b","HCM_123.txt","la Sale","char-offset:555","PLACE","http://pleiades.stoa.org/places/501595","Sale|Sale, near Alexandroupolis","-0550/0300","40.844659","25.875051","settlement","UNVERIFIED","Nominative|Settlement|Research","or, Natural Feature?","",""
"5a8c6054-1859-40a1-a043-48e538ac68ad","HCM_1173.txt","Capenor'","char-offset:82","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"e2ab72b7-439f-4585-9c50-2ba783270b7c","HCM_1173.txt","le Wall'","char-offset:94","PLACE","http://dare.ht.lu.se/places/39379","Enceinte, Le Mans","0300/0640","48.00972","0.19667","","UNVERIFIED","Given at|Settlement","nr Saint Bride & Puttot","",""
"1dda70ac-c88a-410c-b98a-4e2174688ac2","HCM_1173.txt","Saint Bride","char-offset:306","PLACE","","","","","","","UNVERIFIED","Settlement","nr Le Wall; nr Puttot
","",""
"e0291b89-1b92-4ff0-8286-f43f39536085","HCM_1173.txt","Puttot'","char-offset:323","PLACE","","","","","","","UNVERIFIED","Settlement","nr Saint Bride; nr Le Wall'|check OCR; lower in doc = ""Futtot'""
","",""
"2a07fcbf-9753-4727-becb-8e3ac1f65e24","HCM_1173.txt","le Wall'","char-offset:378","PLACE","http://dare.ht.lu.se/places/39379","Enceinte, Le Mans","0300/0640","48.00972","0.19667","","UNVERIFIED","Settlement","","",""
"aab6657e-615a-4f5e-8d72-0a0c408f626e","HCM_1179.txt","Malmeshull'","char-offset:111","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"c0e18a2f-6d12-4914-a3f0-8cb98ef3f82a","HCM_1179.txt","church of Preston’","char-offset:137","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"7e8d2e06-e17c-4154-8e48-d8a513e29a6d","HCM_1179.txt","Preston’","char-offset:176","PLACE","http://dare.ht.lu.se/places/26027","Preston","","50.643223","-2.421539","","UNVERIFIED","Nominative|Settlement","","",""
"9997af2f-afb5-4d64-939a-d6c8cb7d30bf","HCM_1179.txt","field called Prestonholme","char-offset:228","PLACE","","","","","","","UNVERIFIED","Agricultural","in Preston
","",""
"0fcde8dd-6323-4ebd-939f-ce17fbd7b4ac","HCM_1179.txt","Hereford","char-offset:351","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
"2a770193-e766-4e9b-86c2-447b54540f29","HCM_1179.txt","Ledelowe","char-offset:390","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","Ludlow?","",""
"ac26961e-4bf7-40e8-a8fa-b6230b324d16","HCM_1179.txt","Preston’","char-offset:409","PLACE","http://dare.ht.lu.se/places/26027","Preston","","50.643223","-2.421539","","UNVERIFIED","Given at|Settlement","","",""
"bc2a3dc9-45c8-4f61-84a8-724fea48bfe2","HCM_1179.txt","creeenen","char-offset:442","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Kynardesleye","",""
"84c2d213-3796-4460-b00e-f6babf3e5e70","HCM_1179.txt","Tyberton'","char-offset:466","PLACE","http://sws.geonames.org/2635288","Tyberton","","52.0455","-2.90414","","UNVERIFIED","Nominative|Settlement","","",""
